Timestamp,Glyph Code,Chalice Type,F,R,C,Status,Layer 1 Loot,Layer 2 Loot,Layer 3 Loot,Layer 4 Loot,Layer 5 Loot,Unspecified Loot,Dungeon Notes / Comments
3/31/2015 14:42:38,462yygcg,Pthumeru,,,,Active,Uncanny Saw Cleaver,,,,,,
3/31/2015 14:52:43,3zuzathw,Lower Pthumeru,,,,Active,,,,,,"Uncanny Kirkhammer, Lost Saw Cleaver",
3/31/2015 14:53:29,wg6c9sib,Central Pthumeru,,,,Active,,Uncanny Threaded Cane,,,,,
3/31/2015 14:55:32,h6nav3wb,Ailing Loran,,,,Active,,,,,,Lost Rifle Spear,
3/31/2015 14:56:22,5543imxn,Pthumeru Ihyll,,,,Active,,,,,,"Lost Burial Blade, Lost Reiterpallasch",
3/31/2015 14:57:14,aecve32n,Isz,,,,Active,Lost Kirkhammer,Lost Ludwig's Blade,Blood Rock,,,,
3/31/2015 14:58:10,evuke3qg,Ailing Loran,,,,Active,,,,,,"Lost Hunter Axe, Uncanny Tonitrus, Uncanny Beast Claw",
3/31/2015 14:59:18,qt4skm7y,Lower Hintertomb,,,,Active,,,,,,Uncanny Stakedriver,
3/31/2015 15:00:11,x8kkkxzy,Central Pthumeru,,,,Active,,Uncanny Saw Spear,,,,,
3/31/2015 15:04:30,5n6277wn,Ailing Loran,,,,Active,,,,,,Uncanny Tonitrus,
3/31/2015 15:05:18,8jvepg2q,Sinister Hintertomb,,,,Active,Uncanny Stake Driver,,,,,,
3/31/2015 15:12:10,8dc7g5bt,Lower Pthumeru,,,,Active,Lost Saw Spear,,Lost Saw Cleaver,,,,
3/31/2015 15:16:00,ars6u9q7,Pthumeru Ihyll,F,R,,Active,Heir Rune,,Lost Logarius Wheel,Clockwise Metamorphosis Rune ,,,
3/31/2015 15:18:09,yuif5njk,Sinister Isz,,,,Active,,,Lost Ludwig's Holy Blade,,,,
